web-scraper-order,web-scraper-start-url,author,title,date,content,rating,next,next-href
"1549822887-1194","https://www.amazon.in/Deep-Work-Focused-Success-Distracted/product-reviews/0349413681/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Swanand Pagnis","An essential handbook for the modern day knowledge worker","15 December 2017","Cal Newport does the great job of presenting the case for deep work in part one, and then goes about recommending ways to absorb the deep work philosophy in everyday life.

A word of caution: deep work is not easy. It's not merely just focussing heard and doing good work, it's about training your mind to learn hard things fast.

Some of the advice sounds ludicrous at first, like learning the card trick, but makes more sense later.","5.0 out of 5 stars","Next page→","https://www.amazon.in/Deep-Work-Focused-Success-Distracted/product-reviews/0349413681/ref=cm_cr_arp_d_paging_btm_23?ie=UTF8&pageNumber=23&reviewerType=all_reviews"
"1549822668-1051","https://www.amazon.in/Deep-Work-Focused-Success-Distracted/product-reviews/0349413681/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","RAVI SHANKAR KUMAR","A gem from Cal","14 January 2018","This is one of the best books I have read recently. The importance of deep work and tactics to apply it has been explained so simply by Cal. Thank you for this book.","5.0 out of 5 stars","Next page→","https://www.amazon.in/Deep-Work-Focused-Success-Distracted/product-reviews/0349413681/ref=cm_cr_arp_d_paging_btm_8?ie=UTF8&pageNumber=8&reviewerType=all_reviews"
"1549822636-1005","https://www.amazon.in/Deep-Work-Focused-Success-Distracted/product-reviews/0349413681/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Amazon Customer","Good buy","26 January 2019","Good for those who are struggling to focus on their work/job mainly because of distractions at work.
The author voices to quit social media and gives insight into benefits of quitting social media.

I had read and followed few tips, and now I feel that I have lot of free time to do what really matters.","5.0 out of 5 stars","Next page→","https://www.amazon.in/Deep-Work-Focused-Success-Distracted/product-reviews/0349413681/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&pageNumber=4&reviewerType=all_reviews"
"1549822643-1022","https://www.amazon.in/Deep-Work-Focused-Success-Distracted/product-reviews/0349413681/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","akhil parekh","Fantastic book. Must read if one wants to improve ...","19 October 2016","Fantastic book. Must read if one wants to improve its productivity. Book has good practical solutions for the known problem of today's world - Distraction.","5.0 out of 5 stars","Next page→","https://www.amazon.in/Deep-Work-Focused-Success-Distracted/product-reviews/0349413681/ref=cm_cr_arp_d_paging_btm_5?ie=UTF8&pageNumber=5&reviewerType=all_reviews"
"1549822866-1191","https://www.amazon.in/Deep-Work-Focused-Success-Distracted/product-reviews/0349413681/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Shivjot Singh Cheema","Amazing book","26 August 2017","I realised how smartphones have hijacked our lives and we unknowingly are no more masters of our own time. This book is a must read for the new ""smartphone generation"" and older generation who have stepped into the smartphone era and adjusted splendidly, giving away their freedom and success in the process. Good read!!!","5.0 out of 5 stars","Next page→","https://www.amazon.in/Deep-Work-Focused-Success-Distracted/product-reviews/0349413681/ref=cm_cr_arp_d_paging_btm_22?ie=UTF8&pageNumber=22&reviewerType=all_reviews"
"1549822989-1267","https://www.amazon.in/Deep-Work-Focused-Success-Distracted/product-reviews/0349413681/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Amazon Customer","best self-help book","29 December 2017","Arguably the best self-help book i have read in a long time.","5.0 out of 5 stars","Next page→","https://www.amazon.in/Deep-Work-Focused-Success-Distracted/product-reviews/0349413681/ref=cm_cr_arp_d_paging_btm_30?ie=UTF8&pageNumber=30&reviewerType=all_reviews"
"1549822746-1087","https://www.amazon.in/Deep-Work-Focused-Success-Distracted/product-reviews/0349413681/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","pandey","A Must Have :-)","16 June 2016","A must book for anybody who sincerely want to PERFORM. Many times it shows explicitly why you are unable to do well and more importantly how to avoid such traps.","5.0 out of 5 stars","Next page→","https://www.amazon.in/Deep-Work-Focused-Success-Distracted/product-reviews/0349413681/ref=cm_cr_arp_d_paging_btm_12?ie=UTF8&pageNumber=12&reviewerType=all_reviews"
"1549822989-1264","https://www.amazon.in/Deep-Work-Focused-Success-Distracted/product-reviews/0349413681/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Sukriya Khopkar","The second half of the book is very insightful -presenting ...","11 November 2017","The second half of the book is very insightful -presenting enough rules/stratergies that can be integrated in our daily distracted lives.","5.0 out of 5 stars","Next page→","https://www.amazon.in/Deep-Work-Focused-Success-Distracted/product-reviews/0349413681/ref=cm_cr_arp_d_paging_btm_30?ie=UTF8&pageNumber=30&reviewerType=all_reviews"
"1549822835-1142","https://www.amazon.in/Deep-Work-Focused-Success-Distracted/product-reviews/0349413681/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","leneesh","Brilliant read","3 October 2016","Much needed book for everyone in these times of  highly distracted smartphone/smartwatches era !","5.0 out of 5 stars","Next page→","https://www.amazon.in/Deep-Work-Focused-Success-Distracted/product-reviews/0349413681/ref=cm_cr_arp_d_paging_btm_17?ie=UTF8&pageNumber=17&reviewerType=all_reviews"
"1549822776-1110","https://www.amazon.in/Deep-Work-Focused-Success-Distracted/product-reviews/0349413681/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","MAHMOOD HASSAN","Must buy","16 September 2018","Deeply analyses the problem with work in this era","5.0 out of 5 stars","Next page→","https://www.amazon.in/Deep-Work-Focused-Success-Distracted/product-reviews/0349413681/ref=cm_cr_arp_d_paging_btm_14?ie=UTF8&pageNumber=14&reviewerType=all_reviews"
